PlateSequenceName,WellId,Glucose,Lactate,Glutamine,Glutamate,Glucose_fixed,Glutamine_fixed,Feed_Glucose_mL,Feed_Glutamine_mL
20251114-EBT-T0-T3,R24_B07,4.141903950928047,1.702070179434693,3.301227073830997,2.4076166999903865,4.141903950928047,3.301227073830997,0.0,0.0
20251114-EBT-T0-T3,R24_B08,4.12206981792286,1.7074943479183131,2.926270335521393,2.35330572463382,4.12206981792286,2.926270335521393,0.0,0.00921620805982587
20251114-EBT-T0-T3,R24_C01,4.332012915528567,1.86768906579604,3.132593803538644,2.524006008421446,4.332012915528567,3.132593803538644,0.0,0.0
20251114-EBT-T0-T3,R24_C02,4.725300566332447,1.527268460106373,2.6886766709688668,2.458326482346024,4.725300566332447,2.6886766709688668,0.0,0.038915416128891656
20251114-EBT-T0-T3,R24_C03,4.135239442497413,1.8355192939328369,3.14020423868185,2.469589965281984,4.135239442497413,3.14020423868185,0.0,0.0
20251114-EBT-T0-T3,R24_C04,4.35016712576783,1.7633555898488265,3.014482503403304,2.3202382788105336,4.35016712576783,3.014482503403304,0.0,0.0
20251114-EBT-T0-T3,R24_C05,4.352734715449733,1.3962451148256525,3.7706270329911535,2.501829584214033,4.352734715449733,3.7706270329911535,0.0,0.0
20251114-EBT-T0-T3,R24_C06,6.64931261635871,0.0,5.942587393559666,1.5339987191962867,6.64931261635871,5.942587393559666,0.0,0.0
20251114-T0-T4,R24_A01,4.970221806277577,0.0532304986212081,5.89715952049649,1.6228837257925,4.970221806277577,5.89715952049649,0.0,0.0
20251114-T0-T4,R24_A02,5.97547588212178,0.0927433184347461,5.892644749241754,1.6514949996983666,5.97547588212178,5.892644749241754,0.0,0.0
20251114-T0-T4,R24_A03,5.717771829920999,0.0712148344749201,5.6249031094698525,1.48319566156221,5.717771829920999,5.6249031094698525,0.0,0.0
20251114-T0-T4,R24_A04,6.020542127470004,0.1052398769046448,5.63250412089629,1.58724863843616,6.020542127470004,5.63250412089629,0.0,0.0
20251114-T0-T4,R24_A05,5.454942983915114,0.0836023724477099,5.402521706802747,1.53574672286203,5.454942983915114,5.402521706802747,0.0,0.0
20251114-T0-T4,R24_A06,5.89969405774706,0.0980535123981018,5.678620131213926,1.5731528942201567,5.89969405774706,5.678620131213926,0.0,0.0
20251114-T0-T4,R24_A07,5.760809606694736,0.1147450316337776,5.491191129034827,1.5468222185467733,5.760809606694736,5.491191129034827,0.0,0.0
20251114-T0-T4,R24_A08,3.79465813547402,2.361189669203166,2.25796227942816,2.856753938066127,3.79465813547402,2.25796227942816,0.025667733065747492,0.09275471507147998
20251114-T0-T4,R24_B01,2.5238893448147963,1.559018275745497,1.49799678389533,2.580918124640684,2.5238893448147963,1.49799678389533,0.18451383189815046,0.18775040201308374
20251114-T0-T4,R24_B02,2.926767428680272,1.8651832157165955,1.3102217616238372,2.323586305650007,2.926767428680272,1.3102217616238372,0.134154071414966,0.21122227979702035
20251114-T0-T4,R24_B03,3.2302514240518803,1.7007653357131691,0.4178943228853513,2.1222584892809,3.2302514240518803,0.4178943228853513,0.09621857199351497,0.3227632096393311
20251114-T0-T4,R24_B04,2.9545639633063447,1.8338874970550068,1.0360292974382868,2.22996978684987,2.9545639633063447,1.0360292974382868,0.1306795045867069,0.24549633782021416
20251114-T0-T4,R24_B05,3.3647739532648067,1.930094788558504,1.2710597219402893,2.322994523457597,3.3647739532648067,1.2710597219402893,0.07940325584189917,0.21611753475746384
20251114-T0-T4,R24_B06,3.6649701102938033,1.8718002662185835,2.309245823692564,2.5321970111101035,3.6649701102938033,2.309245823692564,0.04187873621327459,0.08634427203842948
20251114-T0-T4,R24_B07,0.0091761525682184,0.0,12.361628933831469,14.612153404314132,0.0091761525682184,12.361628933831469,0.4988529809289727,0.0
20251114-T0-T4,R24_B08,0.0376642364458126,2.1863766342402243e-05,2.857972960759264,2.4167929081695934,0.0376642364458126,2.857972960759264,0.4952919704442734,0.017753379905092015
20251114-T0-T4,R24_C01,14.574573247620668,2.921580237439884,0.0,0.0,14.574573247620668,0.0,0.0,0.375
20251114-T0-T4,R24_C02,7.756591889099173,1.5578950896408763,0.0,0.1494175872343043,7.756591889099173,0.0,0.0,0.375
